"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa04820 Cytoskeleton in muscle cells",0.0042833607907743,0.0414058209774849,0.133506896851075,0.397013941531685,1.63119828680179,76,"LMNA;SNTA1;ACTB;ATP1B3;ACTG1;ENO1;LMNB1;DSG2;TPM3;ATP1A1;ITGB7;ITGB1;VIM;EMD;SPTBN2;DAAM1;FBLN2","reference95","Up",348,"hsa04820","Cytoskeleton in muscle cells"
"hsa04910 Insulin signaling pathway",0.626340080677399,0.729226915587814,0.00889610160590755,0.215488794788386,0.919957411477853,94,"CALM1;FLOT1;PPP1CC;MAPK9;PRKAR2A;AKT1;RAPGEF1;MAPK3;CALM3;HK1;PRKAG2;EIF4E2;RPS6;PIK3R3;GYS1;ACACA;GRB2;PPP1CA;PCK2;ELK1;RPS6KB1;SOCS3;NRAS;PPP1CB;MKNK2;MAPK1;PIK3R2;PRKAR1A;PRKAB1;PIK3R1;FASN;BRAF;MAP2K1;PRKACB;RPS6KB2","reference95","Up",348,"hsa04910","Insulin signaling pathway"
"hsa04911 Insulin secretion",0.518303420885009,0.670518923672799,0.010432761344769,0.284907731299168,0.957926876576764,30,"ATP1B3;ATP1A1;PRKCA;ADCY7;CREB3L3;GNAS","reference95","Up",348,"hsa04911","Insulin secretion"
"hsa04912 GnRH signaling pathway",0.233217249555424,0.407837200227575,0.0170011099702916,0.308452050253792,1.1538420673314,48,"CALM1;MAPK9;MAP2K3;PRKCA;ADCY7;MAPK3;CALM3;GNAS;MAP3K3;MAP3K1;GRB2;ATF4;MAP3K2;ELK1;NRAS;MAPK1;MAP2K6;MAP2K1;PRKACB;CDC42","reference95","Up",348,"hsa04912","GnRH signaling pathway"
"hsa04913 Ovarian steroidogenesis",0.692669212370442,0.778180665797018,0.00919058963634571,-0.323734283405946,-0.819121948925293,10,"INSR;LDLR","reference95","Down",348,"hsa04913","Ovarian steroidogenesis"
"hsa04914 Progesterone-mediated oocyte maturation",0.137737097485664,0.301462326572396,0.0226698759409884,0.316110944284793,1.24096324448123,60,"MAPK9;AKT1;ANAPC13;ADCY7;MAPK3;CDC25B;MAD2L1;CDC26;GNAI2;PLK1;HSP90AB1;PIK3R3;CDK2;ANAPC11;RPS6KA3;MAD2L2;CCNA2;MAPK1;PIK3R2;PIK3R1;BRAF;MAP2K1;PRKACB","reference95","Up",348,"hsa04914","Progesterone-mediated oocyte maturation"
"hsa04915 Estrogen signaling pathway",0.527641142353719,0.672597500143202,0.010157708029794,0.239541245519255,0.960605185357572,67,"FOS;RARA;CALM1;EBAG9;AKT1;ADCY7;CREB3L3;MAPK3;CALM3;GNAS;HSP90B1;GNAI2;HSP90AB1;PIK3R3;SP1","reference95","Up",348,"hsa04915","Estrogen signaling pathway"
"hsa04916 Melanogenesis",0.301096043098644,0.46835458001551,0.0146704187402425,0.306687650865585,1.10283236176752,40,"CALM1;PRKCA;ADCY7;CREB3L3;MAPK3;CALM3;GNAS;GNAI2","reference95","Up",348,"hsa04916","Melanogenesis"
"hsa04917 Prolactin signaling pathway",0.228166100192109,0.407837200227575,0.017187482308372,0.315499422567484,1.15931855581235,44,"STAT5A;FOS;IRF1;RELA;STAT3;MAPK9;AKT1;MAPK3","reference95","Up",348,"hsa04917","Prolactin signaling pathway"
"hsa04918 Thyroid hormone synthesis",0.272037773729412,0.44038268997303,0.0155836157839676,0.321565819766766,1.1299004662369,36,"ATP1B3;GPX7;ATP1A1;PRKCA;ADCY7;CREB3L3;GNAS;HSP90B1;TTF2","reference95","Up",348,"hsa04918","Thyroid hormone synthesis"
"hsa04919 Thyroid hormone signaling pathway",0.369126533601904,0.530810056584557,0.0128409028478813,0.25057057187432,1.04484394233727,83,"MYC;ACTB;ATP1B3;ACTG1;ATP1A1;PFKP;AKT1;PRKCA;ATP2A2;SIN3A;MDM2;MAPK3","reference95","Up",348,"hsa04919","Thyroid hormone signaling pathway"
"hsa04920 Adipocytokine signaling pathway",0.622082485666728,0.729226915587814,0.00906284329241259,0.24376151406949,0.903833035821212,46,"RELA;STAT3;MAPK9;AKT1;CPT1A;ADIPOR2;PRKAG2;ACSL5;STK11;NFKB1;ADIPOR1;PCK2;IKBKG;SOCS3","reference95","Up",348,"hsa04920","Adipocytokine signaling pathway"
"hsa04921 Oxytocin signaling pathway",0.0628646922822856,0.191158848762697,0.0342603407342565,0.329470935283703,1.33900656396892,72,"FOS;ACTB;EEF2K;ACTG1;CALM1;PPP1CC;NFATC3;PPP3R1;PRKCA;ADCY7;MAPK3;CALM3;GNAS;PRKAG2;GNAI2;CD38;ROCK1;PPP1CA;ELK1;NRAS;PPP1CB;MAPK1;NFATC2;PPP3CC;CDKN1A;PRKAB1;MAP2K1;PRKACB;GUCY1B1;EEF2","reference95","Up",348,"hsa04921","Oxytocin signaling pathway"
"hsa04922 Glucagon signaling pathway",0.106656358147412,0.272809982431873,0.0260183343779254,0.32095640735541,1.27508741432873,64,"LDHA;PKM;PGAM1;CALM1;PPP3R1;PFKP;AKT1;LDHB;CPT1A;PDHA1;CREB3L3;CALM3;GNAS;PRKAG2","reference95","Up",348,"hsa04922","Glucagon signaling pathway"
"hsa04923 Regulation of lipolysis in adipocytes",0.555900621118012,0.682897505411766,0.010847281261372,-0.2933164558549,-0.930547937118153,22,"INSR;TSHR;AKT3;MGLL;ABHD5","reference95","Down",348,"hsa04923","Regulation of lipolysis in adipocytes"
"hsa04924 Renin secretion",0.222843630358081,0.405299522098322,0.0175777825634735,0.358775510615418,1.18672229691755,28,"CLCA1;CALM1;ORAI1;PPP3R1;CALM3;GNAS;GNAI2","reference95","Up",348,"hsa04924","Renin secretion"
"hsa04925 Aldosterone synthesis and secretion",0.110093098862125,0.272809982431873,0.025630766774724,0.353713496374514,1.29973809920533,44,"NR4A2;ATP1B3;CALM1;ATP1A1;ORAI1;PRKCA;ADCY7;CREB3L3;CALM3;GNAS;ATP2B1;PRKD2","reference95","Up",348,"hsa04925","Aldosterone synthesis and secretion"
"hsa04926 Relaxin signaling pathway",0.0277972350230415,0.125465971432951,0.0521597611985866,0.365191839873635,1.45520789085457,65,"FOS;TGFB1;RELA;GNG4;MAPK9;AKT1;PRKCA;GNG5;ADCY7;CREB3L3;MAPK3;GNAS;GNAI2;GNB1;PIK3R3;TGFBR1;ARRB1;GRB2;SMAD2;ATF4;NFKB1;NRAS;MAPK1;PIK3R2;PIK3R1;GNG2;GNB2;MAP2K1;GNA15;PRKACB","reference95","Up",348,"hsa04926","Relaxin signaling pathway"
