"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa05100 Bacterial invasion of epithelial cells",0.0737507823050825,0.215157240939621,0.029802319363043,0.368840787726747,1.35244833717943,53,"ACTB;PXN;CLTB;ACTG1;RAC1;ARPC2;ARPC5L;SEPTIN9;ACTR3C;RHOG;ITGB1;CDC42;ELMO2;PIK3R3;ACTR3;ARPC3;MAD2L2","within15","Up",353,"hsa05100","Bacterial invasion of epithelial cells"
"hsa05110 Vibrio cholerae infection",0.03303547251557,0.121691858923362,0.0457385623976019,0.444237529661122,1.50286283525746,36,"ACTB;ACTG1;ATP6V0A4;PRKCA;GNAS;ATP6V0C;SLC12A2;KDELR2;ATP6V1G1;ERO1A;ATP6V0D1;ATP6V0E1;PRKACA;ATP6V1F","within15","Up",353,"hsa05110","Vibrio cholerae infection"
"hsa05120 Epithelial cell signaling in Helicobacter pylori infection",0.192289719626168,0.401646574130399,0.0178798896195977,0.335748611741885,1.20059481819663,47,"RELA;ATP6V0A4;RAC1;ATP6V0C;CCL5;ATP6V1G1;ATP6V0D1;CDC42;JAM3;ATP6V0E1;ATP6V1F;NFKB1;MAPK9","within15","Up",353,"hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
"hsa05130 Pathogenic Escherichia coli infection",0.00542567135062639,0.0348229452140203,0.108094238746228,0.359222627387965,1.52464040425473,124,"FOS;ACTB;TUBA4A;MYO1F;ACTG1;TNFSF10;RIPK1;RELA;TUBA1C;RAC1;ARF6;ARPC2;MYD88;TUBB2A;BAX;ARPC5L;GAPDH;IL1B;TMBIM6;GNA12;RPS3;CYTH1;ACTR3C;LPAR5;ITGB1;CDC42;CASP4;CASP1;NFKBIB;IRAK1;FAS;NFKB1;NCL;MAPK9;ACTR3;ARPC3;PTPN6;ROCK1;GNA13;MAP3K7;CHUK;CYFIP2;TUBA1B;ARPC5","within15","Up",353,"hsa05130","Pathogenic Escherichia coli infection"
"hsa05131 Shigellosis",0.000709548385435391,0.00924433225135605,0.213878881440171,0.358755606537469,1.60275757612267,181,"MALT1;FOXO1;ACTB;PXN;CD44;ACTG1;MYL12A;UBE2V2;RIPK1;VDAC1;RELA;ATG12;UBA52;RRAGC;RAC1;ACTN1;ARF6;ARPC2;UBE2D3;ACTN4;RPS27A;UBE2V1;MYD88;UBC;CCL5;UBE2D1;BAX;ARPC5L;MYL12B;RPS6KA5;IL1B;UBE2D2;HK1;SEPTIN9;RBX1;CYTH1;ACTR3C;BCL10;ITGB1;CDC42;CAST;CASP4;CASP1;MYL5;NFKBIB;FBXW11;MDM2;TRAF5;CAPN2;ELMO2;NFKB1;PIK3R3;SKP1;MAP1LC3B;MAPK9;ACTR3;ARPC3;SEPTIN7;UBB;ATG16L1;BECN1;ROCK1","within15","Up",353,"hsa05131","Shigellosis"
"hsa05132 Salmonella infection",0.00161353947685316,0.0162736981522618,0.203925512082896,0.344498086474825,1.54802001708666,189,"FOS;MYC;RALA;S100A10;ACTB;TUBA4A;ACTG1;MYL12A;TNFSF10;RIPK1;RELA;TUBA1C;RAC1;MAP2K3;ARF6;ARPC2;TXN2;MYD88;VPS18;TUBB2A;BAX;ARPC5L;GAPDH;MYL12B;ARL8A;IL1B;RPS3;CYTH1;RAB7A;ACTR3C;KIF5B;RHOG;MAP2K1;CDC42;CASP4;CASP1;MYL5;RAB5A;IRAK1;ELMO2;NFKB1;HSP90B1;SKP1;KPNA4;MAPK9;ACTR3;ARPC3;DYNLL2;FHOD1;TLR9;RAB5C","within15","Up",353,"hsa05132","Salmonella infection"
"hsa05133 Pertussis",0.00477070384679993,0.0330207540768701,0.121110004696244,0.487280552513761,1.70200347500348,42,"FOS;IL10;IRF1;CALM1;RELA;CFL1;MYD88;IL1B;ITGB2;CALM3;ITGB1;CASP1;IRAK1;NFKB1;IL23A;MAPK9","within15","Up",353,"hsa05133","Pertussis"
"hsa05134 Legionellosis",0.397772903661211,0.63562819935941,0.0116166814245553,0.299816131280836,1.03630325955574,40,"RELA;HSPD1;MYD88;HSF1;EEF1A1;IL1B;ITGB2;BCL2L13;NFKB2;CASP1;NFKB1;EEF1G;RAB1B;SAR1A;CR1;CASP7","within15","Up",353,"hsa05134","Legionellosis"
"hsa05135 Yersinia infection",0.0165670578763199,0.0731021428792618,0.0620678701813423,0.347528620974286,1.44673162464741,109,"FOS;IL10;ACTB;PXN;ACTG1;LCP2;NFATC2;RELA;RAC1;MAP2K3;ARF6;ARPC2;MYD88;ARPC5L;IL1B;NFATC3;ACTR3C;RHOG;ITGB1;MAP2K1;CDC42;CASP1;IRAK1;ELMO2;NFATC1;NFKB1;PIK3R3;MAPK9;ACTR3;ARPC3;LAT;ROCK1;RPS6KA3;RAC2;MAP3K7;CHUK","within15","Up",353,"hsa05135","Yersinia infection"
"hsa05140 Leishmaniasis",0.000418395839729964,0.00736728140903208,0.223389206037189,0.552531560956286,1.90980470323686,40,"IL4;FOS;IL10;NCF1;TGFB1;CYBA;RELA;MARCKSL1;MYD88;EEF1A1;IL1B;ITGB2;ELK1;IFNGR2;ITGB1;NFKBIB;IRAK1;JAK1;NFKB1","within15","Up",353,"hsa05140","Leishmaniasis"
