"cluster","cell_type","panel","gene","mean_log_expression","pct_expressing"
"7","T-lineage candidate","Immaturity","PTCRA",0.848608034759325,74.2816091954023
"7","T-lineage candidate","Immaturity","CD34",0.0193865995593273,4.31034482758621
"7","T-lineage candidate","Immaturity","SOX4",1.58934682104171,99.1379310344828
"7","T-lineage candidate","B cell","MS4A1",0.0032424971201895,0.718390804597701
"7","T-lineage candidate","B cell","CD79A",0.322854238397978,47.7011494252874
"7","T-lineage candidate","B cell","CD79B",0.0671359570793074,15.3735632183908
"7","T-lineage candidate","Myeloid","LYZ",0.0050996811679716,1.4367816091954
"7","T-lineage candidate","Myeloid","LST1",0.628056066150731,78.3045977011494
"7","T-lineage candidate","Myeloid","FCN1",0.00252670983141647,0.718390804597701
"7","T-lineage candidate","pDC","CLEC4C",0,0
"7","T-lineage candidate","pDC","LILRA4",0,0
"7","T-lineage candidate","pDC","TCF4",0.0796573791568675,17.9597701149425
"7","T-lineage candidate","Erythroid","HBB",0.0481232257599891,7.32758620689655
"7","T-lineage candidate","Erythroid","ALAS2",0.000516409422030741,0.14367816091954
"7","T-lineage candidate","Erythroid","AHSP",0.00221222742393195,0.14367816091954
"7","T-lineage candidate","Cytotoxic","NKG7",0.432888333157332,54.0229885057471
"7","T-lineage candidate","Cytotoxic","GNLY",0.00746176101936241,1.72413793103448
"7","T-lineage candidate","Cytotoxic","KLRD1",0.00492702964104562,1.00574712643678
"7","T-lineage candidate","Cell cycle","MKI67",1.48788715488236,98.2758620689655
"7","T-lineage candidate","Cell cycle","TOP2A",1.04360433112315,89.9425287356322
"7","T-lineage candidate","Cell cycle","UBE2C",0.88347085903643,88.7931034482759
"8","T-lineage candidate","T lineage","CD3D",1.65149541670452,96.6906474820144
"8","T-lineage candidate","T lineage","CD3E",1.6485193234481,97.841726618705
"8","T-lineage candidate","T lineage","TRAC",0.221833919075737,26.3309352517986
"8","T-lineage candidate","T lineage","CD5",0.342247675322023,60.863309352518
"8","T-lineage candidate","T lineage","CD7",1.37281054285343,95.2517985611511
"8","T-lineage candidate","Immaturity","DNTT",1.53496033181439,93.2374100719424
"8","T-lineage candidate","Immaturity","PTCRA",0.870767060849261,77.9856115107914
"8","T-lineage candidate","Immaturity","CD34",0.0104958399766893,2.30215827338129
"8","T-lineage candidate","Immaturity","SOX4",1.89201251468066,99.4244604316547
"8","T-lineage candidate","B cell","MS4A1",0.00119058639322296,0.143884892086331
"8","T-lineage candidate","B cell","CD79A",0.328153877144099,48.4892086330935
"8","T-lineage candidate","B cell","CD79B",0.11179538203145,23.3093525179856
"8","T-lineage candidate","Myeloid","LYZ",0.0114477607795809,2.73381294964029
"8","T-lineage candidate","Myeloid","LST1",0.56906587620945,73.5251798561151
"8","T-lineage candidate","Myeloid","FCN1",0.00599445386602021,1.29496402877698
"8","T-lineage candidate","pDC","CLEC4C",0.000384611051896955,0.143884892086331
"8","T-lineage candidate","pDC","LILRA4",0.000384611051896955,0.143884892086331
"8","T-lineage candidate","pDC","TCF4",0.0998627303242439,21.726618705036
"8","T-lineage candidate","Erythroid","HBB",0.0294757782528741,5.89928057553957
"8","T-lineage candidate","Erythroid","ALAS2",0.000773048475808129,0.143884892086331
"8","T-lineage candidate","Erythroid","AHSP",0.00188852642631282,0.575539568345324
"8","T-lineage candidate","Cytotoxic","NKG7",0.416984743262913,53.9568345323741
"8","T-lineage candidate","Cytotoxic","GNLY",0.00741622436020951,1.29496402877698
"8","T-lineage candidate","Cytotoxic","KLRD1",0.00784962810946458,1.72661870503597
"8","T-lineage candidate","Cell cycle","MKI67",1.83761150885777,97.410071942446
"8","T-lineage candidate","Cell cycle","TOP2A",1.57812701831786,91.0791366906475
"8","T-lineage candidate","Cell cycle","UBE2C",1.70416716746046,89.0647482014388
"9","T-lineage candidate","T lineage","CD3D",1.2189355632503,76.6917293233083
"9","T-lineage candidate","T lineage","CD3E",1.78840689179303,93.6842105263158
"9","T-lineage candidate","T lineage","TRAC",0.32061414004716,30.2255639097744
"9","T-lineage candidate","T lineage","CD5",0.394073081692826,36.9924812030075
"9","T-lineage candidate","T lineage","CD7",1.26280516255611,74.8872180451128
"9","T-lineage candidate","Immaturity","DNTT",0.0686798612427329,7.5187969924812
"9","T-lineage candidate","Immaturity","PTCRA",0.0268106808701334,3.15789473684211
"9","T-lineage candidate","Immaturity","CD34",0.000796090536128233,0.150375939849624
"9","T-lineage candidate","Immaturity","SOX4",0.311678837233506,21.8045112781955
"9","T-lineage candidate","B cell","MS4A1",0.0128096070051561,0.902255639097744
"9","T-lineage candidate","B cell","CD79A",0.117388090854761,10.9774436090226
"9","T-lineage candidate","B cell","CD79B",0.072135404176299,8.42105263157895
"9","T-lineage candidate","Myeloid","LYZ",0.00933272895507213,1.35338345864662
"9","T-lineage candidate","Myeloid","LST1",0.118744361353814,12.9323308270677
"9","T-lineage candidate","Myeloid","FCN1",0.00624192336078337,0.75187969924812
"9","T-lineage candidate","pDC","CLEC4C",0,0
"9","T-lineage candidate","pDC","LILRA4",0,0
"9","T-lineage candidate","pDC","TCF4",0.0121110880733203,1.95488721804511
"9","T-lineage candidate","Erythroid","HBB",0.0771342303958837,6.61654135338346
"9","T-lineage candidate","Erythroid","ALAS2",0.00173694695584091,0.150375939849624
"9","T-lineage candidate","Erythroid","AHSP",0.00977769604697393,0.902255639097744
"9","T-lineage candidate","Cytotoxic","NKG7",1.05002740299829,43.609022556391
"9","T-lineage candidate","Cytotoxic","GNLY",0.213672674981111,8.27067669172932
"9","T-lineage candidate","Cytotoxic","KLRD1",0.214004926688944,16.6917293233083
"9","T-lineage candidate","Cell cycle","MKI67",0.0828698293636061,7.06766917293233
"9","T-lineage candidate","Cell cycle","TOP2A",0.0597555709804875,6.31578947368421
"9","T-lineage candidate","Cell cycle","UBE2C",0.0521708990496498,4.3609022556391
"10","T-lineage candidate","T lineage","CD3D",2.2349414150295,98.159509202454
"10","T-lineage candidate","T lineage","CD3E",2.34248076642206,99.079754601227
"10","T-lineage candidate","T lineage","TRAC",0.879565419731526,62.2699386503067
"10","T-lineage candidate","T lineage","CD5",0.399129569587474,36.0429447852761
