"cell_type","panel","gene","mean_log_expression","pct_expressing","cells","z"
"pDC","Cell cycle","TOP2A",0.186633090717053,18.5185185185185,27,0.364425423883754
"pDC","Cell cycle","UBE2C",0.230813077402981,18.5185185185185,27,0.526580726535056
"pDC","Cytotoxic","GNLY",0,0,27,-0.418137293945302
"pDC","Cytotoxic","KLRD1",0,0,27,-0.415140119139958
"pDC","Cytotoxic","NKG7",0.212453723593719,37.037037037037,27,-0.404237987077775
"pDC","Erythroid","AHSP",0.103920850752625,3.7037037037037,27,-0.276122226802595
"pDC","Erythroid","ALAS2",0.0392262457444809,3.7037037037037,27,-0.313816886657367
"pDC","Erythroid","HBB",0.200537057551352,7.40740740740741,27,-0.319071132793275
"pDC","Immaturity","CD34",0,0,27,-0.454744253815997
"pDC","Immaturity","DNTT",0,0,27,-0.629538576811163
"pDC","Immaturity","PTCRA",0.748180461820803,66.6666666666667,27,1.63014789390274
"pDC","Immaturity","SOX4",0.780398612160526,77.7777777777778,27,-0.0940308471789403
"pDC","Myeloid","FCN1",0.0179282029495022,3.7037037037037,27,-0.397206544715602
"pDC","Myeloid","LST1",0.349455105624357,48.1481481481481,27,-0.300159797465664
"pDC","Myeloid","LYZ",0.0714572549698013,7.40740740740741,27,-0.37118847594573
"pDC","T lineage","CD3D",0.0420220353062368,7.40740740740741,27,-0.753791924807086
"pDC","T lineage","CD3E",0.172318196204147,22.2222222222222,27,-0.649631611333925
"pDC","T lineage","CD5",0.0212916054573221,3.7037037037037,27,-0.670203333062488
"pDC","T lineage","CD7",0.284423592904454,29.6296296296296,27,-0.5943307483911
"pDC","T lineage","TRAC",0,0,27,-0.968370154783569
"pDC","pDC","CLEC4C",1.66534560508628,96.2962962962963,27,2.04117650129268
"pDC","pDC","LILRA4",2.29691316799388,100,27,2.04081101124504
"pDC","pDC","TCF4",1.86656446095212,100,27,1.90289495329992
