"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes","Dataset"
"Thermogenesis",1.92270578612596,1.08740448504203e-06,4.26504203577596e-05,"Up",168,"ACTB;NDUFAB1;ACTG1;COX7A2L;NDUFAF8;COX16;ATP5F1B;COX5A;NDUFA6;UQCRH;SMARCD3;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;ATP5MG;GNAS;NDUFA12;MAP2K3;COX7A2;COX7B;ATP5PF;PRKAG2;NDUFB9;RPS6;UQCRB;CYC1;NDUFAF6;ATP5F1C;NDUFAF2;UQCR11;COX8A;ADCY7;COX19;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;COA4;NDUFA9;NDUFB2;NDUFS4;NDUFS3;PRKACA;GRB2;NDUFA1;SDHB;ATP5MC3;NDUFAF4;UQCR10;CPT2;ATP5ME;UQCRHL;ACSL4;ATP5MC1;ATP5MC2;COX6B1;RPS6KA3;NDUFB4;SLC25A20;SMARCD2;KRAS;COX17;ACSL5;CPT1A;ATP5MF;NDUFS5;COX7C;COX5B;COA1;CREB3L3;NDUFB3;UQCRFS1;NRAS;NDUFA7;RPS6KB1;NDUFS6;ATP5PD;NDUFB6;UQCRQ;PRKAB1;SMARCC1;PNPLA2;NDUFA11;RPS6KB2","scRNAseq_within15"
"Natural killer cell mediated cytotoxicity",2.1074543572367,2.08983516667159e-06,6.77681951144806e-05,"Up",73,"NCR3;KIR3DL2;FCER1G;HLA-C;CD48;LAT2;TNFSF10;HCST;LCP2;HLA-B;CD247;NFATC2;CD244;PRKCA;HLA-E;HLA-A;RAC1;ICAM2;BID;ITGB2;IFNGR2;PPP3R1;KLRK1;MAP2K1;NFATC1;FAS;GRB2;PIK3R3","scRNAseq_within15"
"Amyotrophic lateral sclerosis",1.7796281674664,2.12820899545934e-06,6.77681951144806e-05,"Up",265,"ACTB;NDUFAB1;TUBA4A;ACTG1;COX7A2L;ADRM1;OPTN;ATP5F1B;COX5A;NDUFA6;VDAC1;TOMM40;UQCRH;ALYREF;PSMB1;COX4I1;GPX7;COX6C;NXT1;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;RAC1;NDUFA12;MAP2K3;CHMP2B;COX7A2;WDR41;DERL1;COX7B;ATP5PF;NDUFB9;PSMB3;TUBB2A;BAX;HNRNPA1;UQCRB;BID;CYC1;PSMA7;SRSF3;PSMD12;ATP5F1C;UQCR11;COX8A;PPP3R1;KIF5B;PSMD7;PSMB7;ATP5PB;NUP153;ATP5F1A;NDUFA2;RAB8A;NDUFB11;CASP1;TANK;RAB5A;NDUFA9;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;UBQLN4;SOD1;PSMC4;TNFRSF1B;NDUFA1;SDHB;NRBF2;MAP1LC3B;ATP5MC3;ANXA11;PSMC5;UQCR10;SEM1;PSMA4;XBP1;UQCRHL;BECN1;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;NUP35;SRSF7;PSMC1;ATG101;TUBA1B;NDC1;NDUFS5;ATF4;PSMD6;COX7C;PSMA3;COX5B;ULK2;NDUFB3;BCL2;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ;RAE1;NDUFA11;NUP155;ANXA7;NUP58;SEH1L;PSMB2;VAPB;NDUFS7;HNRNPA3;NUP37;ATP5PO;CYCS;UQCRC2;DDIT3;PSMD3;DCTN3","scRNAseq_within15"
"Diabetic cardiomyopathy",1.92369994069078,2.30373467811266e-06,6.77681951144806e-05,"Up",142,"NCF1;TGFB1;NDUFAB1;COX7A2L;ATP5F1B;COX5A;NDUFA6;CYBA;VDAC1;RELA;UQCRH;COX4I1;PRKCA;COX6C;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;RAC1;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;GAPDH;UQCRB;CYC1;PPP1CC;VDAC2;ATP5F1C;UQCR11;COX8A;SLC25A6;ATP5PB;MPC2;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;AGER;ATP2A2;NDUFB2;NDUFS4;NDUFS3;NFKB1;PIK3R3;NDUFA1;SDHB;ATP5MC3;MAPK9;UQCR10;CPT2;UQCRHL;MPC1;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;RAC2;CAMK2D;CTSD;NDUFS5;COX7C;COX5B;NDUFB3;PDK2;PLCB4;UQCRFS1;NDUFA7;PPP1CB;NDUFS6;ATP5PD;NDUFB6;UQCRQ","scRNAseq_within15"
"Alzheimer disease",1.74575692402636,4.06191522389069e-06,0.000110296621079493,"Up",260,"CALM1;NDUFAB1;TUBA4A;SLC39A4;COX7A2L;ADRM1;ATP5F1B;COX5A;NDUFA6;VDAC1;RELA;UQCRH;PSMB1;COX4I1;APH1A;FRAT2;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;PSMB3;TUBB2A;GAPDH;UQCRB;IL1B;BID;CYC1;PSMA7;PSMD12;VDAC2;ATP5F1C;UQCR11;COX8A;SLC39A3;PPP3R1;KIF5B;CALM3;PSMD7;PSMB7;SLC25A6;ATP5PB;MAP2K1;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;PSMD8;AGER;ATP2A2;NDUFB2;PSMC3;NDUFS4;CAPN2;NDUFS3;FAS;NFKB1;PSMC4;PIK3R3;NDUFA1;SDHB;NRBF2;ATP5MC3;MAPK9;SLC39A13;PSMC5;UQCR10;SEM1;FZD6;PSMA4;XBP1;UQCRHL;BECN1;ATP5MC1;ATP5MC2;COX6B1;AXIN1;NDUFB4;SLC39A8;CSNK2B;IRS2;KRAS;CHUK;PSMC1;ATG101;TUBA1B;NDUFS5;ATF4;PSMD6;CSNK2A1;COX7C;NAE1;PSMA3;CASP7;COX5B;ULK2;NDUFB3;PLCB4;UQCRFS1;NRAS;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ","scRNAseq_within15"
"Epstein-Barr virus infection",1.838595344053,1.23732093137503e-05,0.00031198163483956,"Up",150,"RUNX3;GADD45B;MYC;CD58;TAP1;CD44;TAP2;HLA-C;ADRM1;B2M;HLA-B;CD247;RIPK1;STAT3;RELA;VIM;HLA-E;HLA-A;RAC1;MAP2K3;CALR;MYD88;TRAF3;BAX;OAS3;BID;JAK3;PSMD12;PSMD7;IRF7;GADD45A;NFKB2;HLA-F;CD3D;NFKBIB;OAS2;HDAC1;PSMD8;IRAK1;MDM2;PSMC3;TRAF5;JAK1;IRF9;FAS;NFKB1;PSMC4;SIN3A;PIK3R3;CDKN1A;MAPK9;PSMC5;RELB;SEM1;TAPBP;CD3E;PDIA3;STAT2;SAP30L;MAP3K7;CHUK;PSMC1;HDAC2;E2F1;PSMD6","scRNAseq_within15"
"Th1 and Th2 cell differentiation",1.96406194637926,5.11223166476581e-05,0.00120307851844155,"Up",61,"MAF;RUNX3;IL4;FOS;IL2RA;IL4R;STAT5A;CD247;NFATC2;GATA3;RELA;MAML3;JAK3;NFATC3;IFNGR2;PPP3R1;CD3D;NFKBIB;JAK1;NFATC1;NFKB1;MAPK9;LAT","scRNAseq_within15"
"Non-alcoholic fatty liver disease",1.80599928594779,9.29714636345142e-05,0.00205118291643647,"Up",121,"FOS;TGFB1;NDUFAB1;COX7A2L;COX5A;NDUFA6;RELA;UQCRH;COX4I1;COX6C;COX6A1;NDUFB7;NDUFC2;NDUFV2;RAC1;NDUFA12;COX7A2;COX7B;PRKAG2;NDUFB9;BAX;SOCS3;UQCRB;IL1B;BID;CYC1;UQCR11;COX8A;CDC42;NDUFA2;NDUFB11;NDUFA9;NDUFB2;NDUFS4;NDUFS3;FAS;NFKB1;PIK3R3;NDUFA1;SDHB;MAPK9;UQCR10;ADIPOR1;XBP1;UQCRHL;COX6B1;NDUFB4;IRS2;NDUFS5;ATF4;COX7C;CASP7;COX5B;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;NDUFB6;UQCRQ","scRNAseq_within15"
"Tuberculosis",1.83065179448528,0.000110879764157617,0.00230238569103758,"Up",98,"FCER1G;IL10;MALT1;CALM1;TGFB1;IL10RA;RELA;ATP6V0A4;ATP6V0C;CD74;HSPD1;MYD88;MRC2;BAX;IL1B;BID;ITGB2;CEBPG;LSP1;NFYB;RAB7A;IFNGR2;PPP3R1;CALM3;ATP6V0D1;BCL10;HSPA9;PLK3;LAMP1;RAB5A;IRAK1;JAK1;NFKB1;IL23A;MAPK9;TLR9;RAB5C;CEBPB;CORO1A;CR1;NFYC;IFNGR1;CAMK2D;CTSD","scRNAseq_within15"
"IgSF CAM signaling",1.71881970641986,0.000157626377974449,0.00309122841249891,"Up",147,"MBP;CRTAM;DOK2;FOXO1;LY9;ACTB;PXN;TUBA4A;RAP1A;CD48;ACTG1;MYL12A;LCP2;EPB41L2;CD244;RAP1B;PRKCA;TUBA1C;RAC1;ACTN1;ARF6;ARPC2;CD226;ICAM3;ICAM2;ACTN4;ROBO3;TUBB2A;ARPC5L;MYL12B;ITGB2;PARD6B;ACTR3C;PTPRD;ITGB1;MAP2K1;CDC42;JAM3;CASK;GRB2;PIK3R3;MAPK9;ACTR3;ARPC3;DYNLL2","scRNAseq_within15"
"Asthma",1.90198230629064,0.000312159425681998,0.00579959354030238,"Up",7,"IL4;FCER1G;IL10","scRNAseq_within15"
"Th17 cell differentiation",1.79955932226626,0.000438280197137886,0.00736728140903208,"Up",75,"IL4;FOS;IL2RA;IL4R;TGFB1;STAT5A;IL27RA;RARA;IL21R;CD247;NFATC2;GATA3;STAT3;RELA;IL1B;JAK3;NFATC3;IFNGR2;PPP3R1;CD3D;NFKBIB;JAK1;NFATC1;NFKB1;IL23A;MAPK9;LAT","scRNAseq_within15"
"Leishmaniasis",1.90980470323686,0.000418395839729964,0.00736728140903208,"Up",40,"IL4;FOS;IL10;NCF1;TGFB1;CYBA;RELA;MARCKSL1;MYD88;EEF1A1;IL1B;ITGB2;ELK1;IFNGR2;ITGB1;NFKBIB;IRAK1;JAK1;NFKB1","scRNAseq_within15"
"Allograft rejection",1.94637579254007,0.000511387868293915,0.00820545079580691,"Up",14,"IL4;IL10;HLA-C;HLA-B;HLA-E;HLA-A","scRNAseq_within15"
"Proteasome",1.88056919729581,0.00054918033747313,0.00837925505996343,"Up",44,"ADRM1;POMP;PSMB1;PSMB9;PSMB3;PSMA7;PSMD12;PSMD7;PSMB7;PSMD8;PSMC3;PSME2;PSMC4;PSME1;PSMC5;SEM1;PSMA4;PSMB8;PSMC1;PSMD6;PSMA3;PSME3;PSMB10;PSMB2;PSMD3;PSMA2;PSMD11","scRNAseq_within15"
"Inflammatory bowel disease",1.9199726549282,0.000569694395011678,0.00837925505996343,"Up",28,"MAF;IL4;IL10;IL4R;TGFB1;IL21R;GATA3;STAT3;RELA;IL1B;IFNGR2;NFATC1;NFKB1;IL23A","scRNAseq_within15"
"Ribosome biogenesis in eukaryotes",1.79581835450532,0.000714030056771929,0.00924433225135605,"Up",67,"GTPBP4;IMP3;UTP4;EIF6;NXT1;POP4;WDR3;NOP10;GAR1;SNU13;RRP7A;SBDS;RAN;AK6;IMP4;WDR36;UTP18;POP7;FBL;DKC1;HEATR1;GNL3L;GNL2;TBL3;RIOK1;NHP2;CSNK2B;RPP38;WDR43;MPHOSPH10;CSNK2A1;POP1;NOP58;RCL1;XRN2;TCOF1","scRNAseq_within15"
"Cellular senescence",1.66657232939953,0.000733261481693964,0.00924433225135605,"Up",126,"GADD45B;MYC;FOXO1;CALM1;TGFB1;HLA-C;HLA-B;NFATC2;VDAC1;RELA;HLA-E;HLA-A;MAP2K3;RRAS2;SLC25A5;PPP1CC;RAD1;VDAC2;NFATC3;PPP3R1;CALM3;SLC25A6;MAP2K1;GADD45A;HLA-F;FBXW11;RASSF5;MDM2;ZFP36L1;CAPN2;RBL1;NFATC1;ETS1;NFKB1;PIK3R3;CDKN1A","scRNAseq_within15"
"Shigellosis",1.60275757612267,0.000709548385435391,0.00924433225135605,"Up",181,"MALT1;FOXO1;ACTB;PXN;CD44;ACTG1;MYL12A;UBE2V2;RIPK1;VDAC1;RELA;ATG12;UBA52;RRAGC;RAC1;ACTN1;ARF6;ARPC2;UBE2D3;ACTN4;RPS27A;UBE2V1;MYD88;UBC;CCL5;UBE2D1;BAX;ARPC5L;MYL12B;RPS6KA5;IL1B;UBE2D2;HK1;SEPTIN9;RBX1;CYTH1;ACTR3C;BCL10;ITGB1;CDC42;CAST;CASP4;CASP1;MYL5;NFKBIB;FBXW11;MDM2;TRAF5;CAPN2;ELMO2;NFKB1;PIK3R3;SKP1;MAP1LC3B;MAPK9;ACTR3;ARPC3;SEPTIN7;UBB;ATG16L1;BECN1;ROCK1","scRNAseq_within15"
"Human cytomegalovirus infection",1.64857735006946,0.00067167201987717,0.00924433225135605,"Up",148,"MYC;TAP1;CALM1;PXN;IL10RA;TAP2;HLA-C;B2M;HLA-B;GNG5;NFATC2;RIPK1;STAT3;RELA;GNG4;PRKCA;HLA-E;HLA-A;RAC1;GNAS;CALR;CCL5;BAX;IL1B;BID;NFATC3;ELK1;GNA12;PTGER2;ADCY7;PPP3R1;GNG10;CALM3;GNB1;MAP2K1;GNG2;HLA-F;MDM2;TRAF5;PRKACA;JAK1;NFATC1;FAS;NFKB1;GRB2;PIK3R3;CDKN1A;CCL3;CCL4;TAPBP;ROCK1;RAC2;GNB2;GNA13;PDIA3;KRAS;GNAI2;CHUK;E2F1;ATF4;CREB3L3;PLCB4;CDKN2A;NRAS;RPS6KB1","scRNAseq_within15"
"Human immunodeficiency virus 1 infection",1.62254613767422,0.000788757679023741,0.00928104868984602,"Up",155,"FOS;TAP1;CALM1;PXN;ELOC;TAP2;HLA-C;B2M;HLA-B;CD247;GNG5;NFATC2;RIPK1;RELA;GNG4;PRKCA;HLA-E;HLA-A;RAC1;CFL1;MAP2K3;CALR;MYD88;BAX;RNF7;BID;NFATC3;ELOB;RBX1;PPP3R1;GNG10;CALM3;GNB1;MAP2K1;GNG2;HLA-F;CD3D;APOBEC3G;FBXW11;IRAK1;TRAF5;NFATC1;FAS;NFKB1;TNFRSF1B;PIK3R3;SKP1;MAPK9;SAMHD1;TAPBP;CD3E;RAC2;GNB2;PDIA3;MAP3K7;KRAS;GNAI2;CHUK","scRNAseq_within15"
"Pathways in cancer",1.51340665720497,0.000777549243471969,0.00928104868984602,"Up",282,"GADD45B;IL4;FOS;MYC;IL2RA;FOXO1;RALA;EPAS1;IL4R;CALM1;PIM1;TGFB1;ELOC;STAT5A;TPM3;FLT3LG;RARA;RASGRP1;GNG5;BBC3;STAT3;RELA;GNG4;FRAT2;PRKCA;GSTO1;RAC1;GNAS;PDGFA;TRAF3;BAX;RASGRP2;RPS6KA5;BID;EGLN2;JAK3;ELOB;ELK1;RBX1;GNA12;PTGER2;ADCY7;IFNGR2;GNG10;CALM3;LPAR5;GNB1;TRAF4;ITGB1;MAP2K1;CDC42;MLH1;GADD45A;GNG2;NFKB2;FH;HDAC1;RASSF5;MDM2;TRAF5;PRKACA;JAK1;ETS1;FAS;NFKB1;IL23A;BRCA2;EML4;HSP90B1;GRB2;PIK3R3;CDKN1A;SKP1;NCOA4;MAPK9;CUL2;FZD6;STK4;ROCK1;AXIN1;RAC2;MAX;GNB2;GNA13;STAT2;KRAS;GNAI2;CHUK;VHL;IFNGR1;CAMK2D;HDAC2;E2F1;CUL1;STAT4;KIF7;RASSF1;CASP7;LPAR6;STAT1;HSP90AB1;PLCB4;BCL2;MGST3;CDKN2A;NRAS;RPS6KB1","scRNAseq_within15"
"C-type lectin receptor signaling pathway",1.77149186087481,0.000816555611427375,0.0092981977688343,"Up",72,"FCER1G;IL10;MALT1;IRF1;CALM1;NFATC2;RELA;RRAS2;BCL3;IL1B;NFATC3;LSP1;PPP3R1;CALM3;BCL10;PLK3;NFKB2;CASP1;MDM2;NFATC1;IRF9;NFKB1;IL23A;PIK3R3;MAPK9;RELB","scRNAseq_within15"
"Retrograde endocannabinoid signaling",1.75661895306174,0.00101015371623662,0.0111432581822352,"Up",68,"NDUFAB1;GNG5;NDUFA6;GNG4;PRKCA;NDUFB7;NDUFC2;NDUFV2;NDUFA12;NDUFB9;ADCY7;GNG10;GNB1;GNG2;NDUFA2;NDUFB11;NDUFA9;NDUFB2;NDUFS4;NDUFS3;PRKACA;NDUFA1;MAPK9;NDUFB4;GNB2;GNAI2;NDUFS5;NDUFB3;PLCB4;NDUFA7;NDUFS6;NDUFB6;MAPK3;NDUFA11;NAPEPLD;NDUFS7","scRNAseq_within15"
"Mitophagy",1.6703493502465,0.00123371552720186,0.0131970176091592,"Up",87,"TFE3;OPTN;TOMM40;RELA;UBA52;RRAS2;RPS27A;UBC;TOMM7;RAB7A;USP30;BCL2L13;RAB5A;TOMM20;MAP1LC3B;MUL1;MAPK9;CCZ1;RAB5C;SMURF2;UBB;MFN2;MTX1;BECN1;CCZ1B;FUNDC1;CSNK2B;AMFR;KRAS;CITED2;E2F1;ATF4;CSNK2A1;PHB2;TOMM70;NRAS;CALCOCO2;FKBP8;RABGEF1;TBC1D15","scRNAseq_within15"
"Renal cell carcinoma",1.74641416309199,0.00147285984171042,0.0152917507095229,"Up",54,"EPAS1;TFE3;TGFB1;ELOC;RAP1A;RAP1B;RAPGEF1;RAC1;EGLN2;ELOB;RBX1;MAP2K1;CDC42;PRCC;FH;ETS1;GRB2;PIK3R3;CDKN1A;CUL2","scRNAseq_within15"
"Salmonella infection",1.54802001708666,0.00161353947685316,0.0162736981522618,"Up",189,"FOS;MYC;RALA;S100A10;ACTB;TUBA4A;ACTG1;MYL12A;TNFSF10;RIPK1;RELA;TUBA1C;RAC1;MAP2K3;ARF6;ARPC2;TXN2;MYD88;VPS18;TUBB2A;BAX;ARPC5L;GAPDH;MYL12B;ARL8A;IL1B;RPS3;CYTH1;RAB7A;ACTR3C;KIF5B;RHOG;MAP2K1;CDC42;CASP4;CASP1;MYL5;RAB5A;IRAK1;ELMO2;NFKB1;HSP90B1;SKP1;KPNA4;MAPK9;ACTR3;ARPC3;DYNLL2;FHOD1;TLR9;RAB5C","scRNAseq_within15"
"Other glycan degradation",-1.90565701215552,0.00198451786903278,0.0181100211701047,"Down",15,"GBA2;MAN2C1;MAN2B2;MANBA;ENGASE","scRNAseq_within15"
"Spliceosome",1.58032337871728,0.00193125924137723,0.0181100211701047,"Up",136,"EIF4A3;PUF60;SNRPB2;SF3B6;MAGOH;ALYREF;RP9;LSM5;TXNL4A;SNRPB;SNRPD1;PHF5A;SNU13;HNRNPA1;SNRPA1;SRSF6;SRSF3;BUD31;SNRPC;SNRPF;SRSF9;PQBP1;PPIH;THOC7;HNRNPC;RBMX2;SNRPD2;SF3B4;LSM2;LSM3;RBM17;SRSF2;SF3B5;CHERP;SNRPG","scRNAseq_within15"
"Human T-cell leukemia virus 1 infection",1.52475234827091,0.0020008238686518,0.0181100211701047,"Up",168,"FOS;MYC;IL2RA;TGFB1;EGR1;STAT5A;HLA-C;B2M;HLA-B;NFATC2;VDAC1;RELA;HLA-E;HLA-A;RANBP1;ZFP36;SLC25A5;CALR;CRTC3;ANAPC13;BAX;JAK3;ITGB2;VDAC2;RANBP3;NFATC3;ELK1;TBPL1;NFYB;ADCY7;PPP3R1;SLC25A6;RAN;MAP2K1;NFKB2;HLA-F;CD3D;ANAPC11;KAT2B;PRKACA;JAK1;NFATC1;ETS1;NFKB1;PIK3R3;CDKN1A;MAP3K3;MAPK9;MAP3K1;RELB","scRNAseq_within15"
"Graft-versus-host disease",1.850543857856,0.00185476273998643,0.0181100211701047,"Up",14,"KIR3DL2;HLA-C;HLA-B;HLA-E;HLA-A;IL1B;HLA-F;FAS","scRNAseq_within15"
"Necroptosis",1.64921767387979,0.00226322572533241,0.019021873358151,"Up",91,"FTL;STAT5A;SPATA2;TNFSF10;RIPK1;STAT3;VDAC1;CHMP2B;FTH1;SLC25A5;SPATA2L;BAX;IL1B;BID;JAK3;VDAC2;SMPD1;IFNGR2;SLC25A6;PPIA;GLUD1;CASP1;TRAF5;CAPN2;JAK1;CHMP5;IRF9;FAS;CHMP1A;MAPK9;CHMP3;STAT2;IFNGR1;CAMK2D;STAT4;STAT1;HSP90AB1;BCL2;CHMP4B;HSP90AA1;VPS4A;CHMP1B;CFLAR;CHMP6;EIF2AK2","scRNAseq_within15"
"Osteoclast differentiation",1.65560501464074,0.00218133535660091,0.019021873358151,"Up",85,"JUNB;FOS;FOSB;NCF1;TGFB1;LCP2;FOSL2;NFATC2;CYBA;RELA;RAC1;SIRPG;SOCS3;IL1B;IFNGR2;PPP3R1;MAP2K1;NFKB2;ATP2A2;JAK1;NFATC1;JUND;IRF9;NFKB1;GRB2;ACP5;PIK3R3;MAPK9;RELB","scRNAseq_within15"
"B cell receptor signaling pathway",1.73534858205535,0.00223971542439314,0.019021873358151,"Up",55,"FOS;IFITM1;MALT1;NFATC2;RELA;RAC1;CD81;NFATC3;PPP3R1;BCL10;MAP2K1;NFKBIB;NFATC1;NFKB1;GRB2;PIK3R3;CD79A;PTPN6;RAC2;KRAS;CHUK","scRNAseq_within15"
"Cardiac muscle contraction",1.77466640021074,0.00267036235803137,0.0219218119159319,"Up",38,"TPM3;COX7A2L;COX5A;UQCRH;COX4I1;COX6C;COX6A1;COX7A2;COX7B;UQCRB;CYC1;ATP1B3;FXYD2;UQCR11;COX8A;ATP1A1;ATP2A2;TPM4;UQCR10;ASPH;UQCRHL;COX6B1","scRNAseq_within15"
"Mineral absorption",1.82166424705544,0.00303447302494619,0.024344749495591,"Up",21,"FTL;SLC39A4;FTH1;ATP1B3;FXYD2;ATP1A1;ATOX1;ATP7A;SLC31A1;MT1X;ATP2B1;MT2A;HMOX2","scRNAseq_within15"
"Rap1 signaling pathway",1.58803617427695,0.00323443428500342,0.024820767447961,"Up",103,"SIPA1L1;SIPA1;RALA;SKAP1;CALM1;ACTB;RAP1A;ACTG1;LCP2;RAP1B;PRKCA;FARP2;RAPGEF1;RAC1;GNAS;FLT1;ID1;MAP2K3;PDGFA;RASGRP2;ITGB2;PRKD2;ADCY7;PARD6B;CALM3;LPAR5;ITGB1;MAP2K1;CDC42","scRNAseq_within15"
"Lipid and atherosclerosis",1.53819808565021,0.0031938292807858,0.024820767447961,"Up",137,"FOS;ABCA1;NCF1;CALM1;RAP1A;TNFSF10;VLDLR;NFATC2;CYBA;STAT3;RELA;RAP1B;PRKCA;RAC1;MAP2K3;HSPD1;MYD88;CCL5;TRAF3;BAX;IL1B;BID;NFATC3;SOD2;ERO1A;PPP3R1;CALM3;IRF7;CDC42;CASP1;TANK;HSPA4;AGER;IRAK1;NFATC1;FAS;NFKB1;HSP90B1;PIK3R3;MAPK9;CCL3;POU2F1;XBP1","scRNAseq_within15"
"PD-L1 expression and PD-1 checkpoint pathway in cancer",1.64866137133764,0.00348499515972894,0.0261745381145599,"Up",72,"FOS;BATF;RASGRP1;CD247;NFATC2;STAT3;RELA;MAP2K3;MYD88;NFATC3;IFNGR2;PPP3R1;MAP2K1;CD3D;NFKBIB;JAK1;NFATC1;NFKB1;EML4;PDCD1;PIK3R3;MAP3K3;TLR9;LAT;PTPN6;CD3E;CSNK2B;KRAS;CHUK;IFNGR1;CSNK2A1;STAT1;NRAS;RPS6KB1","scRNAseq_within15"
"Autoimmune thyroid disease",1.80159842687245,0.00389469888207717,0.0286422646952759,"Up",14,"IL4;IL10;HLA-C;HLA-B;HLA-E;HLA-A","scRNAseq_within15"
"MAPK signaling pathway",1.49687172241416,0.00430576855019464,0.0310191081269124,"Up",162,"GADD45B;FOS;MYC;TGFB1;FLT3LG;PTPN7;RAP1A;RASGRP1;RELA;RAP1B;PRKCA;RAC1;FLT1;DUSP6;MAP2K3;RRAS2;MYD88;PDGFA;RASGRP2;RPS6KA5;IL1B;MKNK2;DUSP2;RASA2;NFATC3;ELK1;GNA12;PPP3R1;MAP3K8;MAP2K1;CDC42;GADD45A;DUSP1;NFKB2;IRAK1;CDC25B;PRKACA;NFATC1;JUND;FAS;NFKB1;MAP4K2;DUSP5;GRB2;MAP3K3;MAPK9;MAP3K1;RELB;FLNA;STK4;RPS6KA3;RAC2;MAX;MAP3K7;KRAS;CHUK","scRNAseq_within15"
"Pertussis",1.70200347500348,0.00477070384679993,0.0330207540768701,"Up",42,"FOS;IL10;IRF1;CALM1;RELA;CFL1;MYD88;IL1B;ITGB2;CALM3;ITGB1;CASP1;IRAK1;NFKB1;IL23A;MAPK9","scRNAseq_within15"
"Amoebiasis",1.70194343220815,0.00475339648720628,0.0330207540768701,"Up",41,"IL10;TGFB1;RELA;PRKCA;GNAS;ACTN1;SERPINB9;ACTN4;CTSG;IL1B;ITGB2;RAB7A;PRDX1;RAB5A;PRKACA;NFKB1;PIK3R3;RAB5C","scRNAseq_within15"
"Kaposi sarcoma-associated herpesvirus infection",1.51208850066922,0.00501601498761105,0.0340510248197442,"Up",134,"FOS;MYC;CALM1;HLA-C;HLA-B;GNG5;NFATC2;STAT3;RELA;GNG4;HLA-E;HLA-A;UBA52;RAC1;ZFP36;RPS27A;UBC;TRAF3;BAX;BID;NFATC3;CLEC2B;PPP3R1;GNG10;CALM3;GNB1;IRF7;MAP2K1;GNG2;HLA-F;JAK1;NFATC1;IRF9;FAS;NFKB1;PIK3R3;CDKN1A;MAP1LC3B;MAPK9;UBB","scRNAseq_within15"
"Proteoglycans in cancer",1.56206230005209,0.00514515575789703,0.0342686789158048,"Up",101,"MYC;PLAU;CD63;ACTB;PXN;TGFB1;CD44;ACTG1;STAT3;PRKCA;RAC1;NUDT16L1;RRAS2;RPS6;PPP1CC;ELK1;ITGB1;MAP2K1;CDC42;PLAUR;MDM2;PRKACA;FAS;GRB2;PIK3R3;CDKN1A;TIAM1;FZD6;FLNA;PTPN6;DDX5;MSN;ROCK1","scRNAseq_within15"
"Pathogenic Escherichia coli infection",1.52464040425473,0.00542567135062639,0.0348229452140203,"Up",124,"FOS;ACTB;TUBA4A;MYO1F;ACTG1;TNFSF10;RIPK1;RELA;TUBA1C;RAC1;ARF6;ARPC2;MYD88;TUBB2A;BAX;ARPC5L;GAPDH;IL1B;TMBIM6;GNA12;RPS3;CYTH1;ACTR3C;LPAR5;ITGB1;CDC42;CASP4;CASP1;NFKBIB;IRAK1;FAS;NFKB1;NCL;MAPK9;ACTR3;ARPC3;PTPN6;ROCK1;GNA13;MAP3K7;CHUK;CYFIP2;TUBA1B;ARPC5","scRNAseq_within15"
"Influenza A",1.54536293241128,0.00536234579381316,0.0348229452140203,"Up",107,"ACTB;ACTG1;TNFSF10;VDAC1;RELA;PRKCA;NXT1;SLC25A5;MYD88;CCL5;TRAF3;BAX;OAS3;SOCS3;IL1B;BID;IFNGR2;SLC25A6;IRF7;MAP2K1;CASP1;DNAJB1;NFKBIB;OAS2;JAK1;IRF9;FAS;NFKB1;PIK3R3","scRNAseq_within15"
"Intestinal immune network for IgA production",1.76445346461255,0.00591417237648756,0.0372804080160734,"Up",14,"IL4;ITGB7;IL10;TGFB1;CCR9;ICOS","scRNAseq_within15"
"Rheumatoid arthritis",1.6953730641725,0.00602103981328011,0.0372881939313663,"Up",37,"FOS;TGFB1;LTB;ATP6V0A4;FLT1;ATP6V0C;CCL5;ATP6V1G1;IL1B;ITGB2;ATP6V0D1;ATP6V0E1;ATP6V1F;IL23A;ACP5;CCL3","scRNAseq_within15"
