"pathway","gene","shared_with_bulk_same_pathway","in_sc_mitophagy_leading_edge","in_sc_proteasome_leading_edge","in_curated_STAT5_target_sets","logFC","PValue","FDR","rank_stat"
"Ribosome","RPL23",TRUE,FALSE,FALSE,FALSE,0.196197508997429,0.607362417506329,0.999578157159551,0.536640190704951
"Ribosome","RPS29",FALSE,FALSE,FALSE,FALSE,0.203057075216826,0.613044012997732,0.999578157159551,0.528013604292818
"Ribosome","RPL5",FALSE,FALSE,FALSE,FALSE,0.254023831638672,0.615757684859517,0.999578157159551,0.523908500176174
"Ribosome","RPL3",FALSE,FALSE,FALSE,FALSE,0.231037393048813,0.616523908878134,0.999578157159551,0.522751147292267
"Ribosome","RPS3",TRUE,FALSE,FALSE,FALSE,0.227451692064496,0.633808416194069,0.999578157159551,0.496842334556239
"Ribosome","RPS19",TRUE,FALSE,FALSE,FALSE,0.214360670858137,0.634214459082399,0.999578157159551,0.496238145916872
"Ribosome","RPL13A",TRUE,FALSE,FALSE,FALSE,0.210457447842135,0.638948684048723,0.999578157159551,0.489208252979283
"Ribosome","RPS2",FALSE,FALSE,FALSE,FALSE,0.224634236717071,0.639175567665538,0.999578157159551,0.488872020932516
"Ribosome","RPL22",TRUE,FALSE,FALSE,FALSE,0.22465949405202,0.639342859712239,0.999578157159551,0.488624141049088
"Ribosome","RPL35",TRUE,FALSE,FALSE,FALSE,0.18664378449557,0.650742051094392,0.999578157159551,0.471810210978538
"Ribosome","RPL27",FALSE,FALSE,FALSE,FALSE,0.18381817123553,0.655876321843978,0.999578157159551,0.464285173156723
"Ribosome","RSL24D1",TRUE,FALSE,FALSE,FALSE,0.200097362728152,0.656594366179834,0.999578157159551,0.463235316776736
"Ribosome","RPL39",TRUE,FALSE,FALSE,FALSE,0.213632277184195,0.660483672553363,0.999578157159551,0.457557039523927
"Ribosome","RPL11",TRUE,FALSE,FALSE,FALSE,0.202507924842466,0.662664305990372,0.999578157159551,0.45438062997073
"Ribosome","RPL36A",TRUE,FALSE,FALSE,FALSE,0.188787912811714,0.672293876067725,0.999578157159551,0.440413574854247
"Ribosome","MRPL41",FALSE,FALSE,FALSE,FALSE,0.161973035512987,0.67466453635657,0.999578157159551,0.436992613121246
"Ribosome","RPS14",TRUE,FALSE,FALSE,FALSE,0.189505756950971,0.6759858329543,0.999578157159551,0.43508390632501
"Ribosome","RPL35A",TRUE,FALSE,FALSE,FALSE,0.193790960391314,0.678477780765416,0.999578157159551,0.431494289107858
"Ribosome","MRPS28",FALSE,FALSE,FALSE,FALSE,0.177055367723614,0.680474101195784,0.999578157159551,0.428641306939926
"Ribosome","RPL9",FALSE,FALSE,FALSE,FALSE,0.189066395253138,0.689663614476883,0.999578157159551,0.415456014280544
"Ribosome","RPL24",FALSE,FALSE,FALSE,FALSE,0.180448809628671,0.692933824908139,0.999578157159551,0.410789692245731
"Ribosome","MRPL12",TRUE,FALSE,FALSE,FALSE,0.183151952795607,0.694141788671094,0.999578157159551,0.40908147548762
"Ribosome","RPS12",FALSE,FALSE,FALSE,FALSE,0.200379173132192,0.694284596826546,0.999578157159551,0.408865152392781
"Ribosome","RPL37A",TRUE,FALSE,FALSE,FALSE,0.164384757600647,0.697446316304886,0.999578157159551,0.404366981571607
"Ribosome","RPL18",TRUE,FALSE,FALSE,FALSE,0.179683036148904,0.698146003398699,0.999578157159551,0.403372768902647
"Ribosome","RPL15",FALSE,FALSE,FALSE,FALSE,0.166996605231576,0.708149586769073,0.999578157159551,0.389206036630935
"Ribosome","MRPL2",TRUE,FALSE,FALSE,FALSE,0.136458027467612,0.719724558400197,0.999578157159551,0.372926868855297
"Ribosome","MRPL17",FALSE,FALSE,FALSE,FALSE,0.19713330135729,0.722546768209968,0.999578157159551,0.36898652430446
"Ribosome","RPL10A",FALSE,FALSE,FALSE,FALSE,0.171777170027716,0.72366692011096,0.999578157159551,0.367400449905942
"Ribosome","RPS23",FALSE,FALSE,FALSE,FALSE,0.156733385704962,0.741470339355031,0.999578157159551,0.342619448979961
