"analysis_population","pathway_id","pathway_name","pathway_label","gene","compartment","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","OPA1","potential_malignant_T_cells_CNV_high_top25",0.179884124531304,5.65273457743345,0.264579877203642,0.622087707248413,0.999578157159551,0.514373285857306
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","OPTN","potential_malignant_T_cells_CNV_high_top25",0.667432422556719,6.32603772854211,2.42971402187772,0.160976056717598,0.999578157159551,1.55875399658757
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","PGAM5","potential_malignant_T_cells_CNV_high_top25",0.28732191411709,3.95844585342711,0.385291222623297,0.553572284350816,0.999578157159551,0.620718311815672
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","PHB2","potential_malignant_T_cells_CNV_high_top25",0.193514756862481,7.59818813209065,0.264604181868552,0.622069969482235,0.999578157159551,0.514396910827186
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","PINK1","potential_malignant_T_cells_CNV_high_top25",-0.249916764631757,4.03634449229637,0.327305109460991,0.584331214815016,0.999578157159551,-0.572105855118605
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","RAB5A","potential_malignant_T_cells_CNV_high_top25",0.0650984787219084,6.45900806692599,0.0242653862174847,0.88040200584568,0.999578157159551,0.155773509357287
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","RAB5B","potential_malignant_T_cells_CNV_high_top25",-0.335715085216022,5.20415565800321,0.475236573687286,0.51176698720011,0.999578157159551,-0.689374044831459
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","RAB5C","potential_malignant_T_cells_CNV_high_top25",0.0706220369542189,6.69322905359189,0.0427152705120767,0.841869113011185,0.999578157159551,0.206676729488534
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","RAB7A","potential_malignant_T_cells_CNV_high_top25",0.288335252443197,7.00849560389978,0.801506977008921,0.398998557716573,0.999578157159551,0.895269220407426
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","RABGEF1","potential_malignant_T_cells_CNV_high_top25",0.139300329182547,4.43349412667104,0.0616105588171098,0.810764283834338,0.999578157159551,0.248214743351619
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","RELA","potential_malignant_T_cells_CNV_high_top25",0.864033811848241,6.11967381814791,5.05341121365217,0.057588485885473,0.999578157159551,2.24797936237239
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","RHOT1","potential_malignant_T_cells_CNV_high_top25",0.0363768744113133,4.97322457803096,0.00948205190042021,0.925031063893926,0.999578157159551,0.0973758281116018
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","RHOT2","potential_malignant_T_cells_CNV_high_top25",-0.0479474959950682,5.73291252802613,0.0191431198707934,0.893670466006081,0.999578157159551,-0.138358663880486
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","RPS27A","potential_malignant_T_cells_CNV_high_top25",0.295653988203572,11.812237250874,0.442778562274468,0.526098221377369,0.999578157159551,0.665416082067805
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","RRAS2","potential_malignant_T_cells_CNV_high_top25",0.371443807757751,6.22175660957537,1.01227430105787,0.346314022408672,0.999578157159551,1.00611843291825
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","SAMM50","potential_malignant_T_cells_CNV_high_top25",0.15601448382668,5.22412333258461,0.173452120112772,0.688955870585833,0.999578157159551,0.416475833768025
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","SIAH1","potential_malignant_T_cells_CNV_high_top25",-0.523568476503137,5.34950166511734,1.10643524007681,0.326196122569671,0.999578157159551,-1.0518722546378
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","SMURF1","potential_malignant_T_cells_CNV_high_top25",0.143292341162202,4.52975813908161,0.0630976541555458,0.80854624648064,0.999578157159551,0.251192464368551
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","SMURF2","potential_malignant_T_cells_CNV_high_top25",0.506039532711952,5.73891728954453,0.834516837190998,0.38994135353401,0.999578157159551,0.913518930942867
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","SP1","potential_malignant_T_cells_CNV_high_top25",0.185903431231192,4.68543780015204,0.230865218469047,0.644863895056449,0.999578157159551,0.480484358193944
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","SQSTM1","potential_malignant_T_cells_CNV_high_top25",-0.111446252248483,6.10489018788594,0.0875512174095365,0.775496539512382,0.999578157159551,-0.295890549713127
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TAX1BP1","potential_malignant_T_cells_CNV_high_top25",0.0786556454004209,7.70994341483093,0.0387311090553514,0.849311544403646,0.999578157159551,0.196802207953446
