"analysis_population","gene","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","MRPL37",0.589266966438116,5.56000118275014,2.79352924177278,0.136532786665908,0.999578157159551,1.67138542585867
"potential malignant T cells (CNV-high top 25%)","TMEM251",0.994916022776198,4.08656977170289,2.79291428105479,0.136043820093899,0.999578157159551,1.67120144837623
"potential malignant T cells (CNV-high top 25%)","DBN1",0.569743065927777,6.90526198237199,2.78957675848355,0.136762359217614,0.999578157159551,1.6702026100098
"potential malignant T cells (CNV-high top 25%)","ISYNA1",0.997970836442497,5.27760482256115,2.78823079117646,0.136903374812373,0.999578157159551,1.66979962605591
"potential malignant T cells (CNV-high top 25%)","AP3S1",0.668277210434374,6.22066641799112,2.7867132797528,0.136921904752754,0.999578157159551,1.66934516495325
"potential malignant T cells (CNV-high top 25%)","MRC2",1.05825030557551,3.24774621317191,2.78319884952315,0.130508867483537,0.999578157159551,1.66829219548709
"potential malignant T cells (CNV-high top 25%)","KRCC1",-0.799998480380299,5.14049349943529,2.78056317076862,0.137315818067096,0.999578157159551,-1.6675020751917
"potential malignant T cells (CNV-high top 25%)","ANXA4",-1.40609008040618,3.12098235063619,2.779043588166,0.137567806167624,0.999578157159551,-1.66704636653154
"potential malignant T cells (CNV-high top 25%)","DUSP16",-0.710768117287607,4.07174533525327,2.77218537106504,0.137863068883531,0.999578157159551,-1.6649880993764
"potential malignant T cells (CNV-high top 25%)","SGMS1",0.879175405793426,3.33361036331692,2.77093619792691,0.137761224491458,0.999578157159551,1.66461292735786
"potential malignant T cells (CNV-high top 25%)","TVP23B",-0.752621856999772,4.07189965164611,2.7707438366404,0.13795917056233,0.999578157159551,-1.66455514677057
"potential malignant T cells (CNV-high top 25%)","MT-ND5",0.583453098139027,9.95757522359111,2.76908179127744,0.137982559395698,0.999578157159551,1.66405582576951
"potential malignant T cells (CNV-high top 25%)","GNG4",1.35154463511428,3.78808307623615,2.76617079997356,0.131477051032928,0.999578157159551,1.66318092821363
"potential malignant T cells (CNV-high top 25%)","ZCWPW1",-1.0847338913726,2.87398590836275,2.76603024010434,0.138420358641161,0.999578157159551,-1.66313867133933
"potential malignant T cells (CNV-high top 25%)","FAM227B",-1.10475337072725,3.17531892902958,2.76569489756985,0.138353618049356,0.999578157159551,-1.66303785211577
"potential malignant T cells (CNV-high top 25%)","BCAP31",0.547021935161479,7.33578322616809,2.76457594010608,0.138259235988755,0.999578157159551,1.66270139835933
"potential malignant T cells (CNV-high top 25%)","DMTN",-0.923531101904597,3.22117921892151,2.7599927658676,0.138328407051253,0.999578157159551,-1.66132259536419
"potential malignant T cells (CNV-high top 25%)","SENP3",-0.830916680632473,3.59631309071356,2.75904402826648,0.138706457424957,0.999578157159551,-1.66103703398403
"potential malignant T cells (CNV-high top 25%)","SERTAD2",-0.625288698773362,6.39631229946175,2.75708889448852,0.13871821015976,0.999578157159551,-1.66044840163388
"potential malignant T cells (CNV-high top 25%)","BSPRY",-0.950081217931973,3.96004308660663,2.74921213426322,0.138840427585341,0.999578157159551,-1.65807482770327
"potential malignant T cells (CNV-high top 25%)","ZNF280D",-0.663336284431067,6.12534044899816,2.74901123469992,0.139219038337076,0.999578157159551,-1.65801424442009
"potential malignant T cells (CNV-high top 25%)","AL592295.5",-1.1105797717581,2.39440993074263,2.74695718146144,0.139180103850783,0.999578157159551,-1.65739469694501
"potential malignant T cells (CNV-high top 25%)","IL21R",1.51020729775676,4.54322986887287,2.74680689882046,0.139493055802312,0.999578157159551,1.65734935931458
"potential malignant T cells (CNV-high top 25%)","XPO7",-0.727169126126502,4.1364867987177,2.745459735198,0.139503218966421,0.999578157159551,-1.65694288833321
"potential malignant T cells (CNV-high top 25%)","FABP5",0.717357041304334,6.97092044336667,2.74477487473206,0.139476800742735,0.999578157159551,1.65673621157143
