"pathway","gene","in_sc_leading_edge","in_bulk_leading_edge","shared_leading_edge","STAT5_axis_gene","curated_STAT5_target"
"Alzheimer disease","NDUFA13",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFA2",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFA3",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFA5",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFA7",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFA9",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFAB1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFB10",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFB2",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFB3",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFB4",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFB5",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFB6",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFB8",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFC2",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFS2",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFS4",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFS5",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFS6",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFS7",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFS8",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFV3",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NFKB1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","NRAS",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PIK3CB",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PIK3R3",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PPIF",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PPP3CA",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","PPP3R1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSEN2",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMA4",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMA7",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMB1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMB3",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMB7",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMC3",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMC4",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMC5",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMD11",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMD12",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMD2",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMD7",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","PSMD8",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","RELA",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","RTN4",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","RYR3",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","SDHC",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","SDHD",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","SEM1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","SLC25A5",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","SLC25A6",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","SLC39A13",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","SLC39A3",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","SLC39A4",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","SLC39A6",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","SLC39A7",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","SLC39A8",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","TNF",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","TUBA1B",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","TUBA1C",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","TUBA4A",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","TUBB2A",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","TUBB4A",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ULK2",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","UQCR10",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","UQCRB",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","UQCRFS1",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","UQCRHL",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","UQCRQ",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","VDAC1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","VDAC2",TRUE,FALSE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","CD81",TRUE,TRUE,TRUE,FALSE,FALSE
"B cell receptor signaling pathway","FOS",TRUE,TRUE,TRUE,FALSE,FALSE
"B cell receptor signaling pathway","IFITM1",TRUE,TRUE,TRUE,FALSE,FALSE
"B cell receptor signaling pathway","MAPK3",TRUE,TRUE,TRUE,FALSE,FALSE
"B cell receptor signaling pathway","NFATC2",TRUE,TRUE,TRUE,FALSE,FALSE
"B cell receptor signaling pathway","NFKB1",TRUE,TRUE,TRUE,FALSE,FALSE
