"gene","P1_delta","P2_delta","P3_delta","n_pairs_up","n_pairs_down","mean_pair_delta","median_pair_delta","logFC","PValue","FDR","rank_stat","pathway_membership","leading_edge_pathways","any_leading_edge","paired_direction_consistency","gene_level_FDR_lt_0.05"
"ORMDL2",0.727195698392335,0.681830880104027,-0.647099883036018,2,1,0.253975565153448,0.681830880104027,0.176735527623751,0.7068787084811,0.999578157159551,0.391016592627396,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PPP2R5A",0.863433630664008,-0.229674575005425,0.0742998003789745,2,1,0.236019618679186,0.0742998003789745,0.173634561641068,0.656733759848673,0.999578157159551,0.463036796112844,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PIK3CD",1.05766352928576,0.210036166029445,-0.38454508370106,2,1,0.294384870538049,0.210036166029445,0.168278850189708,0.710389454717919,0.999578157159551,0.386077669121877,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"S1PR4",0.199265658662066,0.247101011290177,0.190499590785617,3,0,0.212288753579287,0.199265658662066,0.164600455594041,0.633324476334546,0.999578157159551,0.497564542950104,"Sphingolipid signaling pathway","",FALSE,"up in 3/3",FALSE
"ASAH1",0.503199477318787,0.184874886327418,-0.0456576173208099,2,1,0.214138915441798,0.184874886327418,0.161046193178051,0.69666700402397,0.999578157159551,0.405495448332136,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PPP2CB",1.24429098226933,0.0862080567497925,-0.501184545503763,2,1,0.27643816450512,0.0862080567497925,0.158599175423413,0.751406632773139,0.999578157159551,0.328920010451268,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PSAP",0.130163104471052,0.537110795653962,-0.0469661482584325,2,1,0.206769250622194,0.130163104471052,0.155517925964509,0.669045706805478,0.999578157159551,0.445114130265873,"Sphingolipid metabolism","",FALSE,"up in 2/3",FALSE
"GNAI3",1.60327898412133,-1.1246968883368,0.131642243655599,2,1,0.203408113146711,0.131642243655599,0.143550354299499,0.792145027142297,0.999578157159551,0.273293333486918,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PPP2R2D",1.16563396416269,-0.770199627937783,0.17083565383269,2,1,0.188756663352531,0.17083565383269,0.129546461002217,0.774536211787494,0.999578157159551,0.297198458559784,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"CTSD",0.0589893344451369,0.131948671932308,0.329262000207767,3,0,0.173400002195071,0.131948671932308,0.126328633806027,0.709892490975311,0.999578157159551,0.386747331237347,"Sphingolipid signaling pathway","",FALSE,"up in 3/3",FALSE
"CERS5",0.532849867396953,-0.192703259211648,0.153117223006668,2,1,0.164421277063991,0.153117223006668,0.111509360444353,0.773999961807134,0.999578157159551,0.29793398592586,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PRKCB",0.27713688280166,-0.00427399760843628,0.191265209821879,2,1,0.154709365005034,0.191265209821879,0.10413972421343,0.753082768288946,0.999578157159551,0.326582850818412,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"TRAF2",0.131918727266374,0.764387810689032,-0.461402894301409,2,1,0.144967881217999,0.131918727266374,0.0922023131917009,0.871030040709694,0.999578157159551,0.168073963242528,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"B4GALT3",0.388146402042003,0.222196211477495,-0.197781885722843,2,1,0.137520242598885,0.222196211477495,0.0829320488099345,0.835824770698708,0.999578157159551,0.214719800071943,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"up in 2/3",FALSE
"HRAS",0.0185310957671332,0.362369015889816,-0.0388404600340841,2,1,0.114019883874288,0.0185310957671332,0.0734827390066162,0.855709795871591,0.999578157159551,0.188337565550937,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PPP2R1A",-0.368606416880728,0.286672834102645,0.414923963992817,2,1,0.110996793738245,0.286672834102645,0.0650722691089394,0.860433107933151,0.999578157159551,0.182086552367641,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"ORMDL3",-0.428920516991885,-0.0116522210828904,0.718402141661207,1,2,0.0926098011954772,-0.0116522210828904,0.0475563433109938,0.909064557750522,0.999578157159551,0.118212439005008,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"CERK",0.725739658388395,0.411739816368933,-0.784430797660585,2,1,0.117682892365581,0.411739816368933,0.035831907623776,0.936168536601966,0.999578157159551,0.0828689040004752,"Sphingolipid metabolism","",FALSE,"up in 2/3",FALSE
"MAP2K2",-0.0851559991513398,0.178553956052719,0.155936283517577,2,1,0.0831114134729853,0.155936283517577,0.0344186475311945,0.919138749496126,0.999578157159551,0.105057365248632,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"GALC",-0.193151201229181,0.0105181432259016,0.369261985824993,2,1,0.062209642607238,0.0105181432259016,0.0273423967798146,0.955705028386071,0.999578157159551,0.0574728017652954,"Sphingolipid metabolism","",FALSE,"up in 2/3",FALSE
