"candidate_id","candidate_label","selection_scope","top_fraction","extra_qc","paper_qc_preserved","definition_changes","n_cells_total","min_cells_per_sample","genes_ranked_n","tested_KEGG_sets_n","direction","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total"
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04972 Pancreatic secretion",0.0482758620689655,0.172622779519331,0.271288554688953,0.414487399687674,1.42537474984907,40,"RAP1A;FXYD2;PRKCA;SLC12A2;ATP1B3;RAP1B;GNAS;RAB8A;ATP1A1;ADCY7;RAB27B;CLCA1;ATP2A2;PRSS3;RAC1;CD38;RAB3D","hsa04972","Pancreatic secretion",102
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_down","hsa04392 Hippo signaling pathway - multiple species",0.0508130081300813,0.179878048780488,0.287857117255149,-0.557251325777117,-1.52553157132651,14,"RASSF6;LIMD1;DCHS1;MOB1B;CSNK1E","hsa04392","Hippo signaling pathway - multiple species",29
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04613 Neutrophil extracellular trap formation",0.0542372881355932,0.184748228744939,0.252961123069611,0.350807901847965,1.35426682545335,69,"CTSG;ACTB;RELA;ACTG1;PRKCA;VDAC1;NCF1;CYBA;SLC25A5;PIK3R3;MAP3K7;ITGB2;VDAC2;AGER;HDAC2;RAC1;SLC25A6;MAP2K1;CASP1;HDAC1;ITGAM;NFKB1","hsa04613","Neutrophil extracellular trap formation",195
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04820 Cytoskeleton in muscle cells",0.0542763157894737,0.184748228744939,0.248911114434702,0.335693120399332,1.34646847330511,84,"ITGB7;TNNT3;ACTB;TPM3;FBLN2;ACTG1;ZYX;EMD;SNTA1;ATP1B3;DSG2;ITGB1;COL6A3;LMNA;COL6A2;VIM;MYL5;ENO1;SPTBN2;ATP1A1;TPM4;DAAM1;DMD","hsa04820","Cytoskeleton in muscle cells",233
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04510 Focal adhesion",0.0541871921182266,0.184748228744939,0.248911114434702,0.320213120649498,1.33414307627383,106,"ITGB7;PXN;ACTB;RAP1A;ACTG1;ZYX;MYL12A;RAPGEF1;PRKCA;EMP1;MAPK9;ITGB1;RAP1B;COL6A3;ACTN4;PPP1CC;FLT1;COL6A2;MYL5;ELK1;PIK3R3;ACTN1;MYL12B;GRB2","hsa04510","Focal adhesion",203
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04722 Neurotrophin signaling pathway",0.0537459283387622,0.184748228744939,0.248911114434702,0.323571919897951,1.32744763517496,95,"MATK;RELA;RAP1A;RAPGEF1;CALM1;IRS1;MAPK9;NFKBIE;BAX;BEX3;RAP1B;ARHGDIA;RPS6KA5;ARHGDIB;PIK3R3;MAP3K3;RIPK2;GRB2;ATF4;RAC1;IRAK1;MAP3K1;CALM3;PRDM4;RPS6KA3;MAP2K1;NFKBIB;NFKB1","hsa04722","Neurotrophin signaling pathway",120
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05100 Bacterial invasion of epithelial cells",0.0556492411467116,0.187617441580342,0.248911114434702,0.37482261104739,1.3950678810892,57,"PXN;ACTB;CLTB;ACTG1;ARPC2;ITGB1;MAD2L2;ELMO2;ACTR3B;PIK3R3;SEPTIN9;RHOG;ARPC5L;RAC1;SEPTIN11;ACTR3;SEPTIN1;ARPC3;SEPTIN2;CDC42;ACTR3C;ARPC5","hsa05100","Bacterial invasion of epithelial cells",78
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04530 Tight junction",0.0591133004926108,0.197416116739474,0.237793834423688,0.316052061961398,1.31680634869865,106,"NEDD4L;YBX3;ACTB;RAP1A;ACTG1;MYL12A;ARPC2;MAPK9;ITGB1;ACTN4;TUBA4A;JAM3;PRKAG2;RAB8A;PRKAB1;TUBA1C;PARD6B;ACTR3B;RAB8B;PATJ;ACTN1;MYL12B;HSPA4;ARPC5L;RAC1;MAP3K1;TIAM1;RDX;ACTR3;TUBA1B;MSN;ARPC3;CDC42;RAP2C;ACTR3C;ROCK1;ARPC5","hsa04530","Tight junction",170
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05162 Measles",0.0603588907014682,0.199692030918876,0.234392647294686,0.317015096674054,1.3159785977082,101,"FOS;IL2RA;STAT5A;RELA;STAT3;BID;IL1B;MAPK9;BAX;JAK3;MYD88;EIF3H;PIK3R3;BBC3;CD3D;MAP3K7;TRAF3;IRAK1;OAS3;IRF7;STAT2;NFKBIB;JAK1;NFKB1;OAS2;MSN;STAT1;EIF2AK2;TLR9;CCND3;CD28;CSNK2A2","hsa05162","Measles",136
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04926 Relaxin signaling pathway",0.0616438356164384,0.202054794520548,0.237793834423688,0.34335431350521,1.33121695356625,71,"FOS;GNG4;TGFB1;RELA;PRKCA;GNG5;MAPK9;GNAS;PIK3R3;ADCY7;GNB1;GNG8;GRB2;ATF4;GNG10;MAP2K1;NFKB1;GNA15;GNG2;NRAS;KRAS;PLCB4;GNB2;GNAI2;AKT1;ARRB1;SHC1;CREB3L3;TGFBR1;MAPK3","hsa04926","Relaxin signaling pathway",130
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05418 Fluid shear stress and atherosclerosis",0.0633333333333333,0.205688073394495,0.231126709673834,0.330374706530094,1.31634986106831,81,"FOS;ACTB;KLF2;RELA;ACTG1;CALM1;IL1B;GSTO1;SUMO1;MAPK9;NCF1;CYBA;SUMO2;PIK3R3;MAP3K7;IFNG;HSP90B1;SUMO3;PDGFA;RAC1;CALM3;DUSP1;KEAP1;NFKB1;TXN2","hsa05418","Fluid shear stress and atherosclerosis",142
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_down","hsa04923 Regulation of lipolysis in adipocytes",0.065359477124183,0.210338680926916,0.261663521711573,-0.444378087253529,-1.43106579082593,26,"INSR;TSHR;PRKG2;AKT3;MGLL","hsa04923","Regulation of lipolysis in adipocytes",59
