"case_id","axis","case_label","sample_id","patient_pair","condition_simple","n_cells","median_nFeature_RNA","median_percent_mt","median_CNV_burden"
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M148","P2","relapse",269,1951,3.15334773218143,0.0273458277706847
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M187","P3","diagnosis",456,1761,2.93588689791221,0.0322118005895733
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M187r","P3","relapse",659,2026,3.55749726946481,0.0267510239213303
"model_nonrobust","Model","Non-robust dispersion","M104","P1","diagnosis",140,1784.5,3.40161909686282,0.0262632894117588
"model_nonrobust","Model","Non-robust dispersion","M127","P1","relapse",971,1594,3.1718711581018,0.0296646268014466
"model_nonrobust","Model","Non-robust dispersion","M143","P2","diagnosis",712,1296.5,2.49009501943329,0.0307857066545614
"model_nonrobust","Model","Non-robust dispersion","M148","P2","relapse",269,1951,3.15334773218143,0.0273458277706847
"model_nonrobust","Model","Non-robust dispersion","M187","P3","diagnosis",456,1761,2.93588689791221,0.0322118005895733
"model_nonrobust","Model","Non-robust dispersion","M187r","P3","relapse",659,2026,3.55749726946481,0.0267510239213303
"model_tmmwsp","Model","TMMwsp normalization","M104","P1","diagnosis",140,1784.5,3.40161909686282,0.0262632894117588
"model_tmmwsp","Model","TMMwsp normalization","M127","P1","relapse",971,1594,3.1718711581018,0.0296646268014466
"model_tmmwsp","Model","TMMwsp normalization","M143","P2","diagnosis",712,1296.5,2.49009501943329,0.0307857066545614
"model_tmmwsp","Model","TMMwsp normalization","M148","P2","relapse",269,1951,3.15334773218143,0.0273458277706847
"model_tmmwsp","Model","TMMwsp normalization","M187","P3","diagnosis",456,1761,2.93588689791221,0.0322118005895733
"model_tmmwsp","Model","TMMwsp normalization","M187r","P3","relapse",659,2026,3.55749726946481,0.0267510239213303
"rank_logfc","GSEA ranking","Rank by signed log2FC","M104","P1","diagnosis",140,1784.5,3.40161909686282,0.0262632894117588
"rank_logfc","GSEA ranking","Rank by signed log2FC","M127","P1","relapse",971,1594,3.1718711581018,0.0296646268014466
"rank_logfc","GSEA ranking","Rank by signed log2FC","M143","P2","diagnosis",712,1296.5,2.49009501943329,0.0307857066545614
"rank_logfc","GSEA ranking","Rank by signed log2FC","M148","P2","relapse",269,1951,3.15334773218143,0.0273458277706847
"rank_logfc","GSEA ranking","Rank by signed log2FC","M187","P3","diagnosis",456,1761,2.93588689791221,0.0322118005895733
"rank_logfc","GSEA ranking","Rank by signed log2FC","M187r","P3","relapse",659,2026,3.55749726946481,0.0267510239213303
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M104","P1","diagnosis",140,1784.5,3.40161909686282,0.0262632894117588
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M127","P1","relapse",971,1594,3.1718711581018,0.0296646268014466
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M143","P2","diagnosis",712,1296.5,2.49009501943329,0.0307857066545614
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M148","P2","relapse",269,1951,3.15334773218143,0.0273458277706847
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M187","P3","diagnosis",456,1761,2.93588689791221,0.0322118005895733
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M187r","P3","relapse",659,2026,3.55749726946481,0.0267510239213303
"leaveout_p1","Patient influence","Leave out patient 1","M143","P2","diagnosis",712,1296.5,2.49009501943329,0.0307857066545614
"leaveout_p1","Patient influence","Leave out patient 1","M148","P2","relapse",269,1951,3.15334773218143,0.0273458277706847
"leaveout_p1","Patient influence","Leave out patient 1","M187","P3","diagnosis",456,1761,2.93588689791221,0.0322118005895733
"leaveout_p1","Patient influence","Leave out patient 1","M187r","P3","relapse",659,2026,3.55749726946481,0.0267510239213303
"leaveout_p2","Patient influence","Leave out patient 2","M104","P1","diagnosis",140,1784.5,3.40161909686282,0.0262632894117588
"leaveout_p2","Patient influence","Leave out patient 2","M127","P1","relapse",971,1594,3.1718711581018,0.0296646268014466
"leaveout_p2","Patient influence","Leave out patient 2","M187","P3","diagnosis",456,1761,2.93588689791221,0.0322118005895733
"leaveout_p2","Patient influence","Leave out patient 2","M187r","P3","relapse",659,2026,3.55749726946481,0.0267510239213303
"leaveout_p3","Patient influence","Leave out patient 3","M104","P1","diagnosis",140,1784.5,3.40161909686282,0.0262632894117588
"leaveout_p3","Patient influence","Leave out patient 3","M127","P1","relapse",971,1594,3.1718711581018,0.0296646268014466
"leaveout_p3","Patient influence","Leave out patient 3","M143","P2","diagnosis",712,1296.5,2.49009501943329,0.0307857066545614
"leaveout_p3","Patient influence","Leave out patient 3","M148","P2","relapse",269,1951,3.15334773218143,0.0273458277706847
