"selection_scope","top_fraction","mt_max","min_features","upper_feature_cap","specification_axis","gene_filter","robust_dispersion","normalization","rank_metric","specification_id","n_cells_total","min_cells_per_sample","max_cells_per_sample","sample_cell_imbalance_ratio","diagnosis_cells_n","relapse_cells_n","median_percent_mt","median_nFeature_RNA","cycling_prop","immature_prop","quiescent_prop","er_stress_prop","valid","invalid_reason","primary_equivalent"
"global",0.2,3.5,1000,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ053",1463,41,505,12.3170731707317,622,841,2.5633106856084,1610,0.39917976760082,0.332877648667122,0.253588516746411,0.0143540669856459,TRUE,"",FALSE
"global",0.2,3.5,1000,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ054",1462,41,505,12.3170731707317,622,840,2.56310921046496,1609,0.398768809849521,0.333105335157319,0.253761969904241,0.0143638850889193,TRUE,"",FALSE
"global",0.2,3.5,1500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ055",902,29,301,10.3793103448276,323,579,2.5830355441944,1825,0.422394678492239,0.43569844789357,0.134146341463415,0.00776053215077605,TRUE,"",FALSE
"global",0.2,3.5,1500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ056",901,29,301,10.3793103448276,323,578,2.58256378149945,1825,0.421753607103219,0.436182019977802,0.134295227524972,0.00776914539400666,TRUE,"",FALSE
"global",0.2,4,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ057",1976,67,657,9.80597014925373,831,1145,2.79926624725836,1574,0.395242914979757,0.309210526315789,0.282388663967611,0.0131578947368421,TRUE,"",FALSE
"global",0.2,4,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ058",1975,67,657,9.80597014925373,831,1144,2.79941065038939,1574,0.394936708860759,0.309367088607595,0.28253164556962,0.0131645569620253,TRUE,"",FALSE
"global",0.2,4,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ059",1954,67,655,9.77611940298507,815,1139,2.81368757849268,1579,0.398669396110542,0.312691914022518,0.275844421699079,0.0127942681678608,TRUE,"",FALSE
"global",0.2,4,500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ060",1953,67,655,9.77611940298507,815,1138,2.81419891269587,1578,0.398361495135689,0.312852022529442,0.275985663082437,0.0128008192524322,TRUE,"",FALSE
"global",0.2,4,1000,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ061",1809,54,634,11.7407407407407,709,1100,2.79488394126007,1618,0.419016030956329,0.333886124930901,0.233830845771144,0.0132669983416252,TRUE,"",FALSE
"global",0.2,4,1000,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ062",1808,54,634,11.7407407407407,709,1099,2.79629419444639,1617.5,0.418694690265487,0.334070796460177,0.23396017699115,0.0132743362831858,TRUE,"",FALSE
"global",0.2,4,1500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ063",1134,39,381,9.76923076923077,370,764,2.85310228668864,1837,0.44620811287478,0.422398589065256,0.123456790123457,0.00793650793650794,TRUE,"",FALSE
"global",0.2,4,1500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ064",1133,39,381,9.76923076923077,370,763,2.85356695869837,1837,0.445719329214475,0.422771403353928,0.123565754633716,0.00794351279788173,TRUE,"",FALSE
"global",0.2,4.5,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ065",2287,79,743,9.40506329113924,950,1337,2.98666666666667,1574,0.40008745080892,0.307826847398338,0.279405334499344,0.0126803672933975,TRUE,"",FALSE
"global",0.2,4.5,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ066",2286,79,743,9.40506329113924,950,1336,2.98669616519174,1574,0.399825021872266,0.307961504811898,0.279527559055118,0.0126859142607174,TRUE,"",FALSE
"global",0.2,4.5,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ067",2264,79,740,9.36708860759494,934,1330,2.99282923820294,1580,0.403268551236749,0.31095406360424,0.273409893992933,0.0123674911660777,TRUE,"",FALSE
"global",0.2,4.5,500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ068",2263,79,740,9.36708860759494,934,1329,2.99295774647887,1580,0.403004860804242,0.311091471498011,0.273530711444985,0.0123729562527618,TRUE,"",FALSE
"global",0.2,4.5,1000,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ069",2068,66,712,10.7878787878788,787,1281,2.97088770236147,1633,0.426499032882012,0.335589941972921,0.225338491295938,0.0125725338491296,TRUE,"",FALSE
"global",0.2,4.5,1000,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ070",2067,66,712,10.7878787878788,787,1280,2.97202797202797,1633,0.426221577164973,0.335752298016449,0.225447508466376,0.0125786163522013,TRUE,"",FALSE
"global",0.2,4.5,1500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ071",1307,50,427,8.54,409,898,3.03343674594967,1853,0.455241009946442,0.423871461361897,0.113236419280796,0.00765110941086458,TRUE,"",FALSE
